제목,내용,기자,날짜
"인공지능 기반 소프트웨어, 좀 더 쉽게 개발하세요","과학기술정보통신부와 한국전자통신연구원은 지난 1일 ‘인공지능 기술의 대중화를 위한 탱고 커뮤니티 1회 학술회의’를 개최하고, 산업 현장에서 인공지능에 관한...",박미영 기자,2022년 11월 02일 13:37
"기다리고 기다리던 오픈SSL의 취약점, 초고위험군에서 고위험군으로 격하",지난 주부터 예고됐던 오픈SSL의 초고위험도 취약점이 오늘 고위험군으로 격하됐다고 보안 외신 시큐리티위크가 보도했다. 예고됐던 3.0.7 버전의 업데이트는...,문가용 기자,2022년 11월 02일 13:35
"유출된 아마존 프라임 비디오 서버, 사용자의 관람 패턴 노출시켜",보안 외신 핵리드에 의하면 아마존 프라임 비디오의 서버 하나가 인터넷에 고스란히 노출되어 있었다고 한다. 여기에는 프라임 비디오 구독자 일부의 영상 선택 ...,문가용 기자,2022년 11월 02일 13:33
"드롭박스, 깃허브 리포지터리 130여 개 도난 당해",IT 외신 블리핑컴퓨터는 최근 드롭박스에서 정보 침해 사건이 발생했다고 보도했다. 이 사건으로 드롭박스 측은 130개가 넘는 깃허브 리포지터리를 도난당했다...,문가용 기자,2022년 11월 02일 13:31
"행안부, 침수위험 예상 지역 직접 찾아나선다",행정안전부는 집중호우 등으로 인한 침수 피해를 예방하기 위해 2일부터 12월까지 침수위험지구 지정 확대를 위한 민·관 합동 일제조사를 실시한다고 밝혔다.,박미영 기자,2022년 11월 02일 13:30
MS의 애저 코스모스 DB에 영향주는 초고위험도 취약점 발견돼,보안 외신 해커뉴스에 의하면 오픈소스 개발자 환경 중 하나인 주피터 노트북스(Jupyter Notebooks)에서 인증 우회 취약점이 발견됐다고 한다. 이...,문가용 기자,2022년 11월 02일 13:29
"록빗 3.0 그룹, 탈레스로부터 데이터 훔쳤다고 주장",프랑스의 대형 국방 업체인 탈레스(Thales)가 랜섬웨어 공격에 당한 것 같다고 보안 블로그 시큐리티어페어즈가 밝혔다. 이러한 주장은 록빗 3.0(Loc...,문가용 기자,2022년 11월 02일 13:28
"행안부, 2022 재난안전 논문공모전 우수작 5편 선정","행정안전부는 ‘2022 재난안전 분야 국민 참여 논문공모전’에 우수작 총 5편을 선정하고, 2일 행정안전부 장관상을 수여했다. 올해 7회째를 맞은 이번 공...",박미영 기자,2022년 11월 02일 13:27
"편리한 개인형 이동장치, 안전이 먼저입니다","행정안전부는 최근 전동킥보드 등 개인형 이동장치(Personal Mobility, PM)로 인한 안전사고가 급격히 증가함에 따라 ‘개인형 이동장치(PM) ...",박미영 기자,2022년 11월 02일 13:25
"국토부, 한-에티오피아·탄자니아 공간정보 분야 MOU 체결","국토교통부는 지난 1일 에티오피아 도시인 프라부, 탄자니아 토지주택개발부와 토지행정 전산화, 국가기본도 구축 등 협력체계를 구축했다. 이날 원 장관은 에티...",박미영 기자,2022년 11월 02일 13:20
"국토부, 항공보안역량 한층 높인다",국토교통부는 국내 15개 공항과 12개 항공사에서 항공보안을 책임지고 있는 종사자 등이 참여하는 ‘2022 항공보안 경진대회’를 2일 개최했다.,박미영 기자,2022년 11월 02일 13:17
"특허청, 반도체 기술 특허출원 우선심사 지정 시행",특허청은 국내에서 연구개발하거나 생산하는 반도체 기술 분야 특허출원을 지난 1일부터 1년간 우선심사 대상으로 지정한다고 밝혔다. 이번 조치를 통해 국내의 ...,박미영 기자,2022년 11월 02일 13:14
"해수부, 아·태지역 국가들과 해양디지털화를 논하다","해양수산부는 국제해사기구(IMO), 국제항로표지협회(IALA) 그리고 필리핀·인도네시아 등 아시아·태평양지역 국가들과 함께 ‘해양디지털 역량 강화 국제연수...",박미영 기자,2022년 11월 02일 13:12
"NIA, 정부 국정과제 ‘디지털플랫폼정부’ 조기 구현 위한 조직 혁신 단행",한국지능정보사회진흥원(NIA)은 지난 1일 원장 취임 후 첫 조직혁신을 단행했다. 금번 조직 혁신은 윤석열 정부의 핵심 공약이자 디지털 분야 대표 국정과제...,박미영 기자,2022년 11월 02일 13:06
"LG유플러스, 농어촌 5G 공동망 품질 향상시킨다",LG유플러스는 지난 1일부터 자사가 구축한 농어촌 5G 공동망 지역에 100㎒ 서비스를 개시했다고 밝혔다. LG유플러스는 지난 7월 과학기술정보통신부로부터...,박미영 기자,2022년 11월 02일 13:02
"LG CNS, ‘코딩 실력’만으로 신입사원 선발한다",DX 전문기업 LG CNS가 스펙과 관계없이 코딩 실력만으로 신입사원 채용에 나선다. 이를 위해 프로그래밍 경진 대회 ‘코드 몬스터(CODE MONSTER...,박미영 기자,2022년 11월 02일 11:48
"KAIST, ‘2022 스페이스 로보틱스 국제워크숍’ 개최",KAIST 항공우주공학과와 전자·전기공학부가 오는 9일 기계공학동 공동강의실(N7 #1501)에서 ‘2022 스페이스 로보틱스 국제워크숍’을 개최한다.,박미영 기자,2022년 11월 02일 11:43
"대구시 234억원 ABB 성장펀드 조성, 지역 ABB산업 중점 육성한다","대구시는 지난 1일 주요 출자자인 대구은행, 경북대기술지주, 아이디어브릿지파트너스(펀드 운용사), 대구디지털혁신진흥원과 함께 대구 미래 산업의 주요 분야 ...",박미영 기자,2022년 11월 02일 11:40
"KAIST, 정보검색 분야 최우수 학술대회 ‘ACM CIKM 2022’ 튜토리얼 강연",KAIST는 김재철AI대학원 신기정 교수가 이끄는 연구팀이 지난 10월 17일부터 21일까지 미국 애틀랜타에서 진행된 미 컴퓨터협회 정보 및 지식 관리 학...,박미영 기자,2022년 11월 02일 11:40
"철도연, 무가선 트램 자율주행 기술개발",한국철도기술연구원은 트램 주행 중 발생하는 사고와 피해를 예방하는 ‘무가선 트램 자율주행기술’을 개발했다. 교통신호 제어기와 연계한 교차로 신호 준수를 비...,박미영 기자,2022년 11월 02일 11:13
"정보통신산업진흥원, 싱가포르 핀테크 페스티벌에서 K-솔루션 선보여",정보통신산업진흥원 싱가포르 IT지원센터는 2일부터 4일까지 싱가포르 핀테크 페스티벌에서 국내 핀테크 기업의 아세안 진출을 지원하는 ‘2022년 K-솔루션 ...,박미영 기자,2022년 11월 02일 11:12
"광명도시공사, 4년 연속 홈페이지 개인정보보호 인증 획득",광명도시공사는 공사 홈페이지에 대한 개인정보보호 적합성을 인정받아 ‘개인정보보호 우수 사이트 인증(ePRIVACY)’ 마크를 4년 연속 획득했다고 밝혔다.,박미영 기자,2022년 11월 02일 11:10
"서울시 초실감형 3차원 지도 서비스, 스마트국토엑스포에서 첫선",서울시는 가보지 않아도 현장을 생생하게 느낄 수 있는 초실감형 디지털 3차원 지도 서비스를 2일 스마트국토엑스포에서 시범 공개했다. 서울시는 초실감형 디지...,박미영 기자,2022년 11월 02일 11:05
"메타버스 서울 공간, 시민이 만들고 꾸민다",서울시와 서울디지털재단은 2일부터 30일까지 ‘메타버스 서울 시민 3D 오브젝트 제작 공모전’을 공동 개최한다고 밝혔다. 이번 공모전은 서울시가 11월 말...,박미영 기자,2022년 11월 02일 11:05
"안양시, 자율주행 시범 사업 착수... 2024년 셔틀버스 시범 운행 목표",안양시가 안양형 뉴딜 사업의 일환으로 추진 중인 자율주행 시범 사업에 착수했다. 안양시는 지난달 31일 안양시청 스마트도시통합센터에서 ‘자율주행 시범 사업...,박미영 기자,2022년 11월 02일 11:01
"안양시, ‘디지털 대전환’ 시대 미래 먹거리 탐색",안양시는 디지털 대전환 시대를 준비하는 기반 조성 및 한계 극복을 위해 지난 4월부터 6개월간 관내 기업 데이터 정비 및 특화산업 수요조사를 진행했다.,박미영 기자,2022년 11월 02일 10:59
"태니엄, 보안 및 운영 메트릭 추적과 개선 지원 ‘태니엄 벤치마크’ 출시",통합 엔드포인트 관리(XEM) 제공기업인 태니엄(Tanium)이 태니엄 벤치마크(Tanium Benchmark) 출시를 발표했다. 태니엄 벤치마크는 연결된...,김영명 기자,2022년 11월 02일 10:57
"안랩, 지능형 위협 대응 솔루션 ‘안랩 MDS’ 금융권 고객사 확대",안랩(대표 강석균)은 자사의 지능형 위협 대응 솔루션 ‘안랩 MDS’가 올해 주요 중대형 은행과 보험·증권사 등 금융권의 지능협 위협 대응 시스템 구축 사...,김영명 기자,2022년 11월 02일 10:50
"효성인포메이션시스템, IT 운영 민첩성 확대 위한 재해복구 프로세스 적극 지원",데이터 인프라 및 솔루션 전문기업 효성인포메이션시스템(대표이사 양정규)이 다양하고 민첩해지는 IT 환경에 맞춰 비즈니스 연속성 확보를 위한 재해복구(DR ...,엄호식 기자,2022년 11월 02일 10:48
"[보류] 산업부, 민·관 합동 ‘이차전지 산업 혁신전략’ 발표",지난 1일 이창양 산업통상자원부 장관은 이차전지 업계 대표 및 산업계 관계자 등이 참석한 가운데 ‘제3차 산업전략 원탁회의’를 개최했다.,박미영 기자,2022년 11월 01일 23:51
지스케일러 보안 서비스 마비 사건을 통해 드러난 ‘공동의 책임론’,"클라우드 기반 구독형 사이버 보안 솔루션이, 클라우드 오류나 정전으로 작동을 하지 않으면 어떻게 될까? 상황에 따라 매우 심각한 상황으로 이어질 수 있다....",문가용 기자,2022년 11월 01일 19:33
"개인정보위, 이태원 참사 관련 개인정보 침해 집중 모니터링 실시","개인정보보호위원회(위원장 고학수, 이하 개인정보위)와 한국인터넷진흥원(원장 이원태, 이하 KISA)은 지난달 29일 이태원 참사와 관련해 11월 한 달간 ...",김영명 기자,2022년 11월 01일 18:16
이태원 참사 이슈 악용한 사이버 공격 가능성 대비해야 ,지난주 토요일 밤 서울 용산 이태원에서 발생한 핼러윈 데이 압사 참사와 관련해 이를 악용한 해킹메일 및 피싱·스미싱 등 사이버 공격에 대비해 사용자들의 각...,김영명 기자,2022년 11월 01일 18:10
"개인정보위, ‘마이데이터 국제 콘퍼런스’ 온·오프라인 동시 개최","전 분야 마이데이터 도입의 주관부처인 개인정보보호위원회(위원장 고학수, 이하 ‘개인정보위’)는 오늘 오후 서울 중구 포스트타워에서 ‘마이데이터 국제 콘퍼런...",김영명 기자,2022년 11월 01일 17:46
"스누아이랩, 차세대 비전 AI 솔루션 출시",비전 AI 딥러닝 자동화 플랫폼 전문기업 스누아이랩이 차세대 비전 AI 솔루션을 개발·출시했다고 밝혔다. 스누아이랩의 AutoCare 제품은 실시간 영상에...,엄호식 기자,2022년 11월 01일 17:42
수많은 MSP에서 사용되는 커넥트와이즈 제품에서 초고위험도 취약점 발견돼,커넥트와이즈(ConnectWise)가 초고위험도를 가진 원격 코드 실행 취약점을 패치했다. 문제의 취약점을 익스플로잇 하는 데 성공할 경우 공격자는 커넥트...,문가용 기자,2022년 11월 01일 17:37
"티피링크, 활발한 스마트홈 생태계 구축 위해 ‘매터(Matter)’와 연동",전 세계 Wi-Fi 제품 시장 점유율 1위 글로벌 기업 티피링크(TP-Link)가 IoT 장치 간 원활한 통신을 위한 연결 표준인 매터(Matter)를 지...,엄호식 기자,2022년 11월 01일 16:53
[bnTV] 요즘 가장 악명이 높은 랜섬웨어 해커조직 4곳은? ,"올해의 화두는 아무래도 ‘Zero Trust’죠. 믿고 있었던 모든 것들에 대한 신뢰를 일단 원점으로 돌리고, “원점에서 재평가하자”는 것이고요. 외주업체...",권준  기자,2022년 11월 01일 15:55
"184조원 규모 공공조달시장, 보안기업들은 어떤 활약 펼쳤나",공공조달통계시스템인 ‘온통조달’에 따르면 공공조달시장 규모는 2018년 약 141조원에서 2021년 184조원으로 30.4% 증가했으며 조달업체수는 201...,엄호식 기자,2022년 11월 01일 14:46
"제네텍, 전 세계 물리보안 전문가 최고 관심사 조사 결과 발표","융합 보안, 공공안전, 운영, 비즈니스 인텔리전스 솔루션 전문 기업 제네텍(Genetec Inc.)이 진행한 최근 설문에 따르면, 사이버 보안이 물리보안 ...",엄호식 기자,2022년 11월 01일 14:45
"2022년 11월 물리·정보 보안업계,어떤 인재 찾고 있나",어느새 2022년의 달력도 두 장만 남았다. 오랜 기간 지속된 코로나19로 온전한 일상으로 회복되진 못했지만 보안기업들은 보다 나은 내일을 기대하며 한 해...,엄호식 기자,2022년 11월 01일 14:02
"세계적인 구리 제련 회사 아우루비스, 사이버 공격으로 휘청",구리 제련 분야에 있어서는 유럽 최대 규모를 자랑하는 아우루비스(Aurubis) 사가 사이버 공격에 당해 IT 시스템이 마비됐다고 보안 외신 핵리드가 보도...,문가용 기자,2022년 11월 01일 13:31
